"";"name";"codeInsee";"codeDepartement";"codeRegion";"population";"surface";"lat";"long"
"131";"Locunolé";"29136";"29";"53";1139;1683;47,9237740122354;-3,4866407020764
"132";"Logonna-Daoulas";"29137";"29";"53";2110;1273;48,325990485759;-4,29990465601417
"133";"Pont-de-Buis-lès-Quimerch";"29302";"29";"53";3856;4167;48,2738414196826;-4,11320039822759
"134";"Lopérec";"29139";"29";"53";835;3993;48,3063165785316;-4,03296515702167
"135";"Loperhet";"29140";"29";"53";3588;2051;48,3748179616659;-4,31466610124268
"136";"Loqueffret";"29141";"29";"53";382;2783;48,3287307267622;-3,85178772760719
"137";"Lothey";"29142";"29";"53";461;1328;48,1825033464108;-4,02252189656824
"138";"Mahalon";"29143";"29";"53";937;2126;48,033203967538;-4,41536701675244
"139";"Martyre";"29144";"29";"53";766;1826;48,4324961816709;-4,17007163883629
"140";"Confort-Meilars";"29145";"29";"53";899;1483;48,0512803645603;-4,43918863612832
"141";"Melgven";"29146";"29";"53";3408;5123;47,9126214707318;-3,84089174272669
"142";"Mellac";"29147";"29";"53";2833;2650;47,8948529002725;-3,5913489923286
"143";"Mespaul";"29148";"29";"53";918;1156;48,6148682568001;-4,03372412907691
"144";"Milizac";"29149";"29";"53";3426;3341;48,4615767278079;-4,56208280760501
"145";"Moëlan-sur-Mer";"29150";"29";"53";7033;4757;47,8041846161261;-3,65811372958856
"146";"Morlaix";"29151";"29";"53";15264;2500;48,5963071131642;-3,81504878660048
"147";"Motreff";"29152";"29";"53";711;2150;48,2188613907295;-3,56526681568103
"148";"Névez";"29153";"29";"53";2682;2554;47,8121563853744;-3,7668881179724
"149";"Pont-Aven";"29217";"29";"53";2842;2862;47,8684426107101;-3,76394250561302
"150";"Ouessant";"29155";"29";"53";877;1674;48,4615397276272;-5,08672348861278
"151";"Pencran";"29156";"29";"53";1862;894;48,4457087204946;-4,21725029459065
"152";"Penmarch";"29158";"29";"53";5401;1704;47,8129405311312;-4,35316911290425
"153";"Peumerit";"29159";"29";"53";804;1968;47,9466000420289;-4,29532343453861
